word, deff, prt_of_speech, usage, frequency_rank 
contra,against# opposite (adv. and prep. +acc.),Preposition,Place,271
convenio convenire conveni conventum,assemble# meet; agree,Verb: 4th Conjugation,Social Life,698
converto convertere converti convertversum,turn about# turn# change,Verb: 3rd Conjugation -o,Motion,834
convivium conviviii n.,banquet# feast,Noun: 2nd Declension,Social Life,921
copia copae f.,abundance; (pl.) troops,Noun: 1st Declension,War and Peace,331
cor cordis n.,heart; cordi est# it is pleasing to (+ dat.),Noun: 3rd Declension,The Body,795
cornu corus n.,horn,Noun: 4th Declension,Animals/Plants,591
corpus corporis n.,body,Noun: 3rd Declension,The Body,75
corrumpo corrumpere corrumprupi corrumpruptum,break up# destroy# ruin,Verb: 3rd Conjugation -o,Violence,870
credo credere credidi creditum,believe,Verb: 3rd Conjugation -o,Education/Knowledge,109
creo crare,produce# create; elect# choose,Verb: 1st Conjugation,Making/Doing,978
cresco crescere crevi cretum,grow# increase,Verb: 3rd Conjugation -o,Animals/Plants,609
crimen criminis n.,verdict# accusation,Noun: 3rd Declension,Justice,475
culpa culae f.,guilt# fault# blame,Noun: 1st Declension,Justice,769
cum,with (prep. + abl.); when# since# although (conjunction + subj.),Preposition,Conjunctions/Adverbs,10
cunctus cuncta cunctum,entire all together,Adjective: 1st and 2nd Declension,Measurement,292
cupido cupiinis f.,desire# eagerness# craving,Noun: 3rd Declension,Love,906
cupio cupere cupivi cupitum,desire,Verb: 3rd Conjugation -io,Love,441
cur,why?,Adverb,Pronouns/Interrogatives,404
cura cuae f.,care# concern,Noun: 1st Declension,Love,186
curo curare,watch over# look after# care for (+ acc.),Verb: 1st Conjugation,Love,743
curro currere cucurri cursum,run,Verb: 3rd Conjugation -o,Athletics,562
currus currus m.,chariot,Noun: 4th Declension,Athletics,491
cursus cursus m.,course# advance,Noun: 4th Declension,Athletics,351
custos custodis m.,guardian,Noun: 3rd Declension,The Household,622
damno damnare,condemn,Verb: 1st Conjugation,Justice,751
damnum damni n.,damage# injury,Noun: 2nd Declension,Violence,926
de,down from# about# concerning (+ abl.),Preposition,Place,46
debeo debere debui debitum,owe# be obliged,Verb: 2nd Conjugation,Business/Money,155
decem,ten,Adjective: Numeral,Measurement,914
decerno decernere decerncrevi decerncretum,determine# decide,Verb: 3rd Conjugation -o,Education/Knowledge,800
decet decere decuit,it is right# proper# fitting (+ acc. + infin.),Verb: Impersonal,Personality Traits/Characteristics,718
decus decoris n.,beauty# grace; ornament# glory# honor,Noun: 3rd Declension,Personality Traits/Characteristics,548
deduco deducere deducduxi deductum,launch# lead away,Verb: 3rd Conjugation -o,Travel,661
defendo defendere defendi defendfensum,defend# ward off,Verb: 3rd Conjugation -o,War and Peace,653
defero deferre defertuli deferlatum,carry away# report,Verb: Irregular,Verbs of Transport,805
deficio deficere deficfeci deficfectum,fail# give out; revolt from,Verb: 3rd Conjugation -io,War and Peace,676
deinde/dein,then# next,Adverb,Time,150
denique,finally,Adverb,Time,796
descendo descendere descendi descendscensum,climb down# descend,Verb: 3rd Conjugation -o,Travel,802
desero desere deserui desertum,leave# desert# abandon,Verb: 3rd Conjugation -o,Motion,544
desidero desiderare,long for# desire greatly,Verb: 1st Conjugation,Love,892
desino desinere desinsii desinsitum,leave off# cease,Verb: 3rd Conjugation -o,Motion,624
desum desumesse desumfui,be lacking,Verb: Irregular,Business/Money,463
deus dei m.; dea deae f.,god; goddess,Noun: 2nd Declension,Religion,42
dexter dextetra dextetrum,right; dextera -ae f.: right hand,Adjective: 1st and 2nd Declension,Place,260
dico dicere dixi dictum,say; causam dicere# plead a case; diem dicere# appoint a day,Verb: 3rd Conjugation -o,Speech/Oratory,33
dies diei m./f.,day,Noun: 5th Declension,Lengths of Time,54
differo differre distuli dilatum,scatter; publish# divulge; differ; defer# postpone,Verb: Irregular,Making/Doing,880
difficilis difficile,not easy# hard# difficult,Adjective: 3rd Declension,Personality Traits/Characteristics,861
